"name","birth_year","email","affiliations","bio"
"Samir Raiyani",1985,"samir_raiyani@mail.com","MIT"," Vestibulum magna turpis, porta in dolor vitae, pharetra hendrerit ligula"
"Matthias Winkler",2000,"matthias_winkler@mail.com","MIT"," Phasellus facilisis elit sit amet tempor congue"
"Melanie Hartmann",1969,"melanie_hartmann@mail.com","Politecnico di Torino"," Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas"
"Jochen H. Schiller",1950,"jochen_h._schiller@mail.com","MIT"," Praesent eleifend velit quis tellus posuere sagittis"
"Daniel Oberle",1990,"daniel_oberle@mail.com","Politecnico di Torino"," Duis eu auctor orci"
"Christof Bornhövd",1985,"christof_bornhövd@mail.com","ETH Zurich"," Nulla facilisi"
"Michael Altenhofen",1964,"michael_altenhofen@mail.com","University of Illinois at Chicago"," Pellentesque at purus sagittis, sodales enim nec, luctus ipsum"
"Wolfgang Gerteis",1990,"wolfgang_gerteis@mail.com","Politecnico di Milano"," Proin molestie fringilla ligula"
"Zoltán Nochta",1953,"zoltán_nochta@mail.com","Politecnico di Milano"," Duis hendrerit, metus vel pulvinar accumsan, felis libero pharetra lorem, et venenatis magna libero nec lorem"
"Jürgen Anke",1967,"jürgen_anke@mail.com","The University of Edinburgh"," Sed id dignissim justo"
"Bernhard Wolf",1999,"bernhard_wolf@mail.com","ETH Zurich"," Aliquam sem ante, vestibulum non porta sit amet, rutrum auctor sem"
"Gregor Hackenbroich",1970,"gregor_hackenbroich@mail.com","University of Illinois at Chicago"," Phasellus at hendrerit ligula, sit amet consectetur ex"
"Hong Hai Do",1971,"hong_hai_do@mail.com","The University of Edinburgh"," Aliquam pellentesque lacus vitae orci placerat, nec facilisis turpis porta"
"Mario Neugebauer",1960,"mario_neugebauer@mail.com","MIT"," Nunc pretium magna ut venenatis pretium"
"Anja Klein 0001",1953,"anja_klein_0001@mail.com","Technical University of Munich"," Quisque pulvinar, ligula eu posuere faucibus, libero mi semper tortor, a placerat nibh est nec risus"
"Frankie James",1966,"frankie_james@mail.com","ETH Zurich"," Donec malesuada, turpis ut iaculis efficitur, sem ipsum varius odio, quis dignissim urna lectus in lectus"
"Rama Gurram",1970,"rama_gurram@mail.com","Technical University of Munich"," Sed posuere facilisis nunc id convallis"
"Patrik Spieß",1965,"patrik_spieß@mail.com","University of Illinois at Chicago","  Aliquam a accumsan sapien"
"Jens Müller 0002",1982,"jens_müller_0002@mail.com","MIT"," Cras consequat, lorem ac tincidunt volutpat, massa velit lacinia risus, in placerat est risus id enim"
"Matthias Jöst",1974,"matthias_jöst@mail.com","MIT"," Curabitur finibus, magna vitae sagittis pretium, neque lectus dictum eros, a finibus tellus dolor at nibh"
"Jussi Kangasharju",1988,"jussi_kangasharju@mail.com","MIT"," Phasellus blandit risus vitae sapien ullamcorper mattis"
"Volkmar Lotz",1999,"volkmar_lotz@mail.com","Politecnico di Milano"," Maecenas nibh est, accumsan a vehicula sit amet, consequat non orci"
"Luca Compagna",1954,"luca_compagna@mail.com","Technical University of Munich"," Mauris hendrerit, risus non sollicitudin congue, leo turpis congue quam, sit amet pellentesque leo urna nec elit"
"Konrad S. Wrona",1994,"konrad_s._wrona@mail.com","University of Illinois at Chicago"," Etiam feugiat accumsan hendrerit"
"Tobias Limberger",1985,"tobias_limberger@mail.com","Technical University of Munich"," Mauris rhoncus fermentum ipsum ac tincidunt"
"Burkhard Stiller",1970,"burkhard_stiller@mail.com","Politecnico di Milano"," Praesent volutpat vehicula luctus"
"David Hausheer",1966,"david_hausheer@mail.com","The University of Edinburgh"," Donec sem tellus, fringilla nec dictum vitae, dignissim id ligula"
"Jan Gerke",1990,"jan_gerke@mail.com","MIT"," Donec non turpis mattis massa facilisis bibendum"
"Péter Rácz",1990,"péter_rácz@mail.com","The University of Edinburgh","  Nullam sit amet fermentum quam, eu laoreet mi"
"Cristian Morariu",1965,"cristian_morariu@mail.com","University of Illinois at Chicago","  Ut semper quam non ultricies efficitur"
"Martin Waldburger",1966,"martin_waldburger@mail.com","Technical University of Munich"," Phasellus ultrices vehicula dictum"
"Max Mühlhäuser",1972,"max_mühlhäuser@mail.com","Politecnico di Torino"," Mauris tincidunt libero nec mauris facilisis, sit amet consectetur erat luctus"
"Iryna Gurevych",1987,"iryna_gurevych@mail.com","MIT"," Quisque a eros nec mi posuere tempus et faucibus odio"
"Louenas Hamdi",1974,"louenas_hamdi@mail.com","Politecnico di Torino"," Maecenas a quam nibh"
"Alistair Barros",1953,"alistair_barros@mail.com","University of Illinois at Chicago"," Nulla venenatis mattis tellus, vel congue justo tempor in"
"Saburo Muroga",1975,"saburo_muroga@mail.com","ETH Zurich"," Morbi condimentum, diam et tincidunt mattis, nisi massa dignissim nulla, lacinia viverra lorem lectus ut massa"
"Akio Nakagawa",1968,"akio_nakagawa@mail.com","Politecnico di Milano"," Fusce sit amet blandit urna"
"Alice C. Parker",1960,"alice_c._parker@mail.com","The University of Edinburgh"," Aenean pulvinar turpis at libero mattis interdum"
"Yosef Tirat-Gefen",1991,"yosef_tirat-gefen@mail.com","Politecnico di Milano"," Sed diam quam, tincidunt quis ipsum vitae, ultricies sollicitudin ipsum"
"Suhrid A. Wadekar",1960,"suhrid_a._wadekar@mail.com","Politecnico di Torino"," Vestibulum vitae nibh sollicitudin metus maximus tempor"
"Samuel S. Martin",1965,"samuel_s._martin@mail.com","Politecnico di Milano"," Morbi fermentum at nulla et imperdiet"
"Thad Gabara",1967,"thad_gabara@mail.com","ETH Zurich"," Vestibulum euismod auctor ex a molestie"
"Kwok Ng",1989,"kwok_ng@mail.com","University of Illinois at Chicago"," Cras aliquet, libero sit amet vehicula cursus, sem nibh lacinia metus, id placerat massa nisl sed nisl"
"Vikram Iyengar",1998,"vikram_iyengar@mail.com","Technical University of Munich"," Curabitur pretium eget velit id ornare"
"Elizabeth M. Rudnick",1988,"elizabeth_m._rudnick@mail.com","Politecnico di Torino"," In ut diam orci"
"John D. Cressler",1955,"john_d._cressler@mail.com","Politecnico di Milano"," Duis vel elit pellentesque, ultrices urna nec, pulvinar felis"
"John W. Fattaruso",1989,"john_w._fattaruso@mail.com","Politecnico di Torino"," Etiam interdum mollis lobortis"
"Louis A. Williams III",1967,"louis_a._williams_iii@mail.com","Technical University of Munich"," In hac habitasse platea dictumst"
